"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
9450,0.00064508234119634706,0.00064508228386314344,0.0006450823477043634
9500,5.2832355406528119e-11,1.677922206023868e-10,1.2170956757337283e-10
9550,1.1729594653551567e-10,1.0484409168030536e-10,2.1161561834670304e-11
9600,1.2558333634008397e-10,1.4082689628880888e-10,7.1818326602517447e-11
9650,0.75428778648882455,0.7542877865055978,0.75428778646829076
9700,1.29873917977188e-10,8.0991594551353242e-11,4.929248813019103e-11
9750,11.498776633160546,11.498776633261139,11.498776633164766
9800,1.0871538526602201e-10,1.584962717203446e-10,1.0392403623076679e-10
9850,2.2232899245422174e-10,4.2648798968194583e-11,1.8497368309561398e-10
9900,2.9447659031389117e-10,1.7759784252229088e-10,1.7473210726503134e-10
9950,62.766665109885686,62.766665109900629,62.766665109919565
10000,1.9446863658752205e-10,3.3736831743344354e-10,3.2539297458649393e-10
10050,62.766665109978341,62.766665110007736,62.766665109853854
10100,1.096935196049221e-10,8.517714839695452e-11,1.3292681202122594e-10
10150,1.6640291576702344e-10,5.8464335319017945e-11,1.2387922667096977e-10
10200,3.8042725410301909e-11,4.0374683526423429e-11,2.6838554970267184e-11
10250,11.498776633194048,11.498776633007793,11.498776633103908
10300,1.7321475508553611e-10,1.285535372444501e-10,1.0588809622325448e-10
10350,0.75428778653453543,0.75428778639132854,0.75428778660875728
10400,2.1070788952534528e-10,4.272542541224849e-11,1.8123271749240631e-10
10450,1.2754059494528624e-10,9.6213570709502954e-11,2.2229977015556587e-10
10500,1.3575850937882092e-10,6.3649992006143577e-11,7.2769268973185696e-11
10550,0.00064508225320469967,0.00064508236391050617,0.00064508222117339671
10600,1.1498261430206723e-10,1.7430448620954656e-10,6.0244993315736013e-11
10650,1.0513635022152405e-05,1.0513728241049684e-05,1.0513457312727897e-05
10700,2.1776425042161348e-10,2.7496433549934151e-10,1.1538058713058904e-10
10750,2.3407674855770093e-10,1.1182362420133268e-10,1.7695636703329695e-10
10800,9.5558877572751148e-11,8.6052217022738261e-11,1.412183092630195e-11
10850,1.1224575762474586e-09,1.1730354583285471e-09,1.1100739675536282e-09
10900,2.0722432516773772e-10,1.5962984683909948e-10,9.1799275190898859e-11
10950,2.6682305300599503e-10,1.9688407025083056e-10,1.6458579494035514e-10
11000,8.7668432365317667e-11,1.3680569033202864e-10,9.9046094164815094e-11
11050,5.5704247914299825e-11,1.7974991943487576e-11,7.2296121486582716e-11
11100,8.8276035069365062e-11,1.6337437387528167e-10,1.5712496600244208e-10
11150,6.9585826086030089e-11,1.887623255007178e-10,1.4315635879692057e-10
11200,1.2473566450836742e-10,8.8355751001847058e-11,7.9539864547833425e-11
11250,3.1451318226641695e-11,6.0223935008819519e-11,6.220490703431998e-11
11300,5.4670628617415989e-11,1.1240965428151338e-10,1.670743401882509e-10
11350,1.1722883025172567e-10,5.2387472496155702e-11,1.3254895010279748e-10
11400,9.9117305959085539e-11,8.2631726999582531e-11,1.5031040686362765e-10
11450,9.2523257157374014e-11,7.3652911179818524e-11,1.6157084546147885e-10
11500,2.7928069105494348e-11,1.366964545364391e-10,1.3832972586646858e-10
11550,2.8488355604286384e-10,1.2548729175627357e-10,1.9155823766538971e-10
11600,1.2820527388085561e-10,1.9393199379423026e-10,8.5101069353297808e-11
11650,1.4427281349251688e-10,7.1303066767954288e-11,1.6532274091113958e-10
11700,8.5999848400863554e-11,1.0855930184517979e-10,1.1245193958200871e-10
11750,9.3709729402105418e-11,1.7084593606274487e-10,7.78623718152028e-11
11800,4.8076212109729619e-11,1.7604608140638045e-10,1.4032218850481094e-10
11850,2.6387464473177609e-10,1.0300847398743772e-10,1.6581349300518734e-10
11900,6.3512601219893407e-11,1.8446057381352106e-10,1.3740051509048651e-10
11950,2.3658806442877561e-10,1.4955155475218715e-10,9.1712248784255178e-11
12000,2.1784050101145836e-10,1.4136432055950523e-10,8.9383419495645067e-11
12050,7.2226878958538509e-11,6.4934916159086707e-11,1.3013386302993872e-10
12100,1.4791435545320225e-10,2.7841069910113296e-10,1.3633082383523497e-10
12150,1.4443294251605572e-10,1.5312022931610333e-10,1.8196700918949756e-10
12200,6.3321851638572301e-11,6.8191507179016745e-11,1.1342444344775393e-10
12250,1.9945263013727869e-10,2.0399895828090927e-10,4.9836417852216131e-11
12300,2.102126245221396e-10,1.3421905545886062e-10,7.6747823930182147e-11
12350,9.9688459113286924e-11,1.3721013147118179e-10,2.2982475461741594e-10
12400,4.6882394247320085e-11,8.0960223150340429e-11,1.2497120341310593e-10
12450,2.1580604198207766e-10,1.3383755290641289e-11,2.2716901465475922e-10
12500,9.8009063461893106e-11,6.3505408310581331e-11,1.2073730467260572e-10
12550,2.0550006312486819e-10,2.0882559943384834e-10,1.8757511493650279e-10
12600,1.5409542142456056e-10,2.4620976276237404e-10,1.0115992184301025e-10
12650,9.4235350302835792e-11,7.748267003333493e-11,1.6977684894507432e-10
12700,2.0996490829524983e-11,5.7651840809982343e-11,4.4668506989398469e-11
12750,1.6389702522090691e-10,3.7120844231923311e-10,2.4530404957488218e-10
12800,4.6656589727028381e-11,9.8598196985823921e-11,8.5504471969628356e-11
12850,8.7889213052609745e-11,5.6537002734946285e-11,1.4218265666042943e-10
12900,7.7808722819743354e-11,7.4239478701542472e-12,8.3116026114181039e-11
12950,2.2275100781269611e-10,2.043718710550592e-10,2.2059050739365101e-10
13000,4.1221591790205873e-11,2.2925852396446424e-11,3.333141846913195e-11
13050,2.1662950405464508e-10,2.6889803442730037e-10,1.6356906989087335e-10
13100,9.9049065654224016e-11,2.4843167537457639e-10,2.85030181516641e-10
13150,3.2583983182589597e-11,1.8726889976134997e-10,1.6224238980991886e-10
13200,1.7868327217118797e-10,1.4787526748921436e-10,5.4256424018693906e-11
13250,7.712598176972348e-11,1.6510425387538841e-10,1.1488397127748395e-10
13300,8.8631240808569708e-11,3.6056473238715622e-11,1.2225295262601607e-10
13350,4.5715236004505415e-11,9.4038189928131609e-11,1.3739103510343822e-10
13400,1.5723080467209452e-10,1.7701285726436747e-10,7.0628239965873279e-11
13450,9.7285594839333302e-11,1.1796896086367575e-10,6.2882854684251092e-11
13500,2.1106360204841131e-10,1.7624633588431441e-10,3.6682909039592711e-11
13550,2.2872475656017658e-10,2.9783569673886908e-10,7.1491539672033783e-11
13600,8.6223500332882661e-11,1.8567302491520191e-10,1.6595958184026526e-10
13650,1.0918228794643222e-10,5.5090308634533108e-11,1.6426685587332495e-10
13700,9.6649982865613789e-11,1.1460546821494198e-10,6.9121797134448786e-11
13750,1.3481096403406866e-10,1.1079644200329158e-10,1.8325121944323018e-10
13800,9.4492998511722491e-11,1.6290613830250278e-10,1.2325716023799313e-10
13850,1.3706373532396819e-10,1.3176113795529514e-10,2.2145288568497503e-10
13900,8.8020952993278018e-11,8.9090913264862602e-11,5.9892509624273629e-11
13950,2.4089981149451746e-10,2.9203208930256559e-10,8.6225637475559334e-11
14000,1.1537419706442278e-09,1.2713599575241503e-09,1.2073207915389126e-09
14050,3.5926632443409644e-11,7.6554682716471998e-11,4.0630774797911344e-11
14100,2.6628647937928875e-11,4.4116867640306353e-11,3.8839782318101224e-11
14150,1.0652306666035494e-10,1.1919874657503422e-10,8.9532942011847131e-11
14200,4.5602605495207306e-06,4.5601355898662174e-06,4.560277758334347e-06
14250,1.6511798688860385e-10,3.2822196103742327e-10,2.0806163424366283e-10
14300,0.00018848409996140376,0.00018848410311846732,0.00018848398801197335
14350,2.2251981262202309e-10,3.190166220257591e-10,2.5426736782102311e-10
14400,2.2167391794135072e-10,1.8227528572506835e-10,1.3395819691657132e-10
14450,2.2107754505209829e-10,6.9942166564647874e-11,2.5877089043948727e-10
14500,0.12754857122860225,0.12754857154533647,0.1275485711978335
14550,1.7364929180559329e-10,2.4480685710204537e-11,1.5711189595870474e-10
14600,1.8310685502911324,1.83106855045162,1.8310685502224022
14650,8.1158957392459803e-11,1.3659100650194438e-10,2.1079487473330175e-10
14700,9.2615685066155019e-11,8.6722886962726794e-11,1.2828787063871806e-10
14750,1.8493705091632659e-10,2.1095765514112791e-10,1.7737751183922866e-10
14800,54.461667816297805,54.461667816228577,54.461667816280567
14850,2.3875119274751417e-10,1.6623850103574055e-10,1.0847455380922993e-10
14900,21.511812706080953,21.511812706247792,21.511812706135718
14950,1.3584326434066499e-10,1.713091831436457e-11,1.4014107316678351e-10
15000,1.0449810125290129e-10,1.3668686410557052e-10,5.855476046388784e-11
15050,1.4570939076997288e-10,1.3148456681692283e-10,1.9147250154952953e-10
15100,21.511812706278754,21.511812706223406,21.511812706230568
15150,1.7695209668277433e-10,2.4417260406887837e-10,1.0535515899316821e-10
15200,54.461667816328742,54.461667816320265,54.461667816317053
15250,2.052735518451875e-10,1.5010166148243554e-10,1.9955851182513384e-10
15300,1.7760042764973218e-10,1.8698722421456485e-10,2.0745186753896477e-10
15350,1.518517822869214e-10,2.4768497875788824e-10,1.1876459862551446e-10
15400,1.8310685503838724,1.8310685503025459,1.8310685505684967
15450,2.218177809397479e-10,1.519641429350532e-10,8.317596886059371e-11
15500,0.12754857142585921,0.12754857126978023,0.12754857152465682
15550,5.5880687435926736e-11,1.6429962785790106e-10,1.1728107423169352e-10
15600,1.4407261465739119e-10,2.955161187124675e-11,1.2186711565341148e-10
15650,1.7644155875651485e-10,7.9862521844638774e-11,1.9360113682840749e-10
15700,0.000188484280458245,0.00018848433137492115,0.00018848429764312404
15750,4.3904501812906169e-11,1.5054837915540236e-10,1.113847662429623e-10
15800,4.5603566488639345e-06,4.5603279012310686e-06,4.5604263029008792e-06
15850,1.6616656924778214e-10,2.4531206703632945e-10,1.9359085791788841e-10
15900,3.1647809943986377e-11,1.4026651401120361e-10,1.7174017480483513e-10
15950,2.9643320513100817e-11,5.3246129596190154e-11,5.8301313950151192e-11
16000,1.2133531255351976e-09,1.3472276636085699e-09,1.1995055194859178e-09
16050,2.7946831651308814e-10,1.6536220704589992e-10,1.7239215558344522e-10
16100,3.2392941961038417e-10,1.7528487600943571e-10,2.912517477161552e-10
16150,5.3981786504190695e-11,6.3713928656638884e-11,9.6139695190655207e-11
16200,5.0360306511411887e-11,1.4332663811321675e-10,1.3837632740335971e-10
16250,7.1661168667609902e-11,8.2394965740837745e-11,1.3800034882405274e-10
16300,1.3000513440742641e-10,1.4401545195940112e-10,7.0950418701370442e-11
16350,6.9199059026267945e-11,5.7767720806903973e-11,1.1537724933613936e-11
16400,1.3801244351267441e-10,1.8330918717964444e-11,1.2439457718769061e-10
16450,6.7457218877654491e-11,1.9948891045392508e-11,8.4105793152778878e-11
16500,1.1972530562981178e-10,1.0556060366993154e-10,3.8524047701419752e-11
16550,1.1039633628945321e-10,3.4129604630607658e-10,2.3225056155276425e-10
16600,6.0672058680061495e-11,9.126243928438681e-11,5.2693671404807762e-11
16650,9.1254718620216137e-11,2.6274870277549246e-10,2.1986441305138401e-10
16700,4.6003008864766854e-11,9.8950031703374335e-11,5.4029811202490157e-11
16750,1.0853341855214316e-10,3.5557801538578604e-11,1.0075494025446605e-10
16800,1.842292546305172e-10,1.7290955648604363e-10,2.420390855518467e-10
16850,3.9527535346919462e-11,7.3096811886725467e-11,1.0881466834482012e-10
16900,1.8003718093125951e-10,2.1185080959274909e-10,2.4879317498966201e-10
16950,1.3512999013322523e-10,7.4429181743011115e-11,2.0745970605635338e-10
17000,8.3950921213852865e-11,3.7654251816553925e-11,1.1416913559047227e-10
17050,2.9842933335874892e-10,1.9738472388247282e-10,1.1536456600473432e-10
17100,2.0390434278572033e-10,1.4147008044488816e-10,1.3572637130778197e-10
17150,2.2432197191752801e-10,1.3472198419219193e-10,1.8396716261485179e-10
17200,1.9812781580187695e-10,1.521869858646391e-10,2.0437030994518476e-10
17250,1.0004966829515475e-10,1.5870684956485687e-10,6.828160408656947e-11
17300,3.4874784208487791e-11,9.3211656696691171e-11,9.4529318644866428e-11
17350,7.292473853446166e-11,9.828901230963529e-11,6.4307493196228944e-11
17400,1.7651610405733486e-10,8.5156311732342484e-11,1.5555150705400651e-10
17450,3.826874943308767e-10,8.6607652987608958e-11,3.3909534267572101e-10
17500,3.4051494218676691e-10,1.8326196852206157e-10,1.5790794426607009e-10
17550,1.5473275020544901e-10,2.0124779260581325e-10,1.7502234556754618e-10
17600,2.5474705595436277e-10,3.3400086804557423e-11,2.3447101036894346e-10
17650,1.4629726068784772e-10,1.7126847613953451e-10,3.4747606681881598e-11
17700,1.9366763836877592e-10,1.8200755825159544e-10,2.0911816180477388e-10
17750,5.9744095602111473e-11,8.7909292206919439e-11,4.0318042547491347e-11
17800,1.7408672171271265e-10,2.4044778989683317e-10,2.2173797077969885e-10
17850,2.1573509116763706e-10,1.2998831188055894e-10,3.1384814981675906e-10
17900,1.5895947230330688e-10,1.960839240652538e-10,4.0980039256786033e-11
17950,1.889497239916826e-10,1.8865119646660303e-10,2.4759030220369438e-11
18000,2.792522168373591e-10,1.2206853678705942e-11,2.7010663322943139e-10
18050,3.1038980952036336e-11,1.493682484326282e-10,1.2664048234505955e-10
18100,1.1115907387218572e-10,1.1150017930353757e-10,1.5183127959905695e-10
