"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
8850,1.2126667742250659e-10,1.1412379341480978e-10,7.2220400071344388e-11
8900,1.1595156924431402e-10,1.0429850298673515e-10,5.637011145108961e-11
8950,5.1537147957556774e-11,5.6362928625387773e-11,5.7538056387245545e-11
9000,8.734862973281266e-11,9.0746396533283545e-11,1.7601969256673461e-11
9050,1.1734225149121745e-10,1.5917480795935427e-10,2.2952194914354055e-10
9100,8.230505303184558e-11,8.2587365100659434e-11,2.5585232273701598e-11
9150,1.7017824215971359e-10,1.1375479178319832e-10,6.9545680002963732e-11
9200,2.2362191948545767e-10,2.6608818290501283e-10,1.6954500200643065e-10
9250,2.5149625437847621e-10,3.4499105768907087e-10,1.2623346145078416e-10
9300,1.2552700916496432e-10,5.6660898071871522e-11,1.8081884990808948e-10
9350,1.530716429242691e-08,1.5613660190011689e-08,1.5208465292720338e-08
9400,1.9552547406776272e-10,1.0854546448961076e-10,1.2310497238863876e-10
9450,2.6732580900892244e-06,2.6733216275184995e-06,2.67338011929144e-06
9500,7.6253960494723095e-11,2.3459784539769708e-10,1.8723769596625861e-10
9550,7.7206968097294294e-11,9.5812478379335153e-11,1.5677614291851984e-10
9600,2.5737418152790013e-11,1.7151443781121903e-10,1.9219590827829932e-10
9650,0.025847295858669989,0.025847296145911407,0.025847295912341094
9700,1.4796835807106645e-10,8.1433938824084432e-11,1.5316452894570067e-10
9750,1.1766659854372457,1.1766659853699339,1.1766659853511512
9800,2.273475912147059e-11,2.3760514044835369e-10,2.2950009463676051e-10
9850,2.4521822615100684e-10,1.9710603603228573e-10,6.1044415798609806e-11
9900,2.8079681213244826e-10,1.5616434275522747e-10,1.2542692051332299e-10
9950,128.23310190201659,128.23310190171046,128.23310190221974
10000,2.3394138015128096e-10,4.6860458802783308e-10,2.5757713845822455e-10
10050,128.23310190174212,128.23310190187817,128.23310190177943
10100,2.7670319859709943e-10,1.3744336051037612e-10,1.4170791407245194e-10
10150,2.3732129336239098e-10,2.9431686612752483e-12,2.401770023015716e-10
10200,5.0725045101464344e-11,2.3915729830106899e-10,2.015620604030049e-10
10250,1.1766659850662162,1.1766659853081958,1.1766659852964647
10300,1.8033092122020571e-10,1.8025044540374328e-10,1.2366871666194935e-10
10350,0.025847296292647159,0.025847295955025534,0.025847296210613584
10400,1.4060158176789698e-10,8.4063605226272916e-11,2.1283328876035369e-10
10450,1.1638345970048e-10,1.2438979839707934e-10,1.1906861142598335e-10
10500,2.0790401202948606e-10,2.5061487509113367e-10,1.3784768364663454e-10
10550,2.6733482969596385e-06,2.6732877607413211e-06,2.673199235226093e-06
10600,6.828968465941554e-11,1.2384406171181807e-10,1.2106145444881356e-10
10650,1.5330045520347328e-08,1.5243760922187329e-08,1.5507798568482196e-08
10700,1.3785153766659055e-10,2.2416942054203151e-10,1.5426219765843418e-10
10750,1.1732558095079154e-10,1.6464171543935406e-10,4.7448740134264737e-11
10800,1.8897206201870246e-10,2.3772542450515854e-10,9.5265619155017649e-11
10850,8.5144448333214056e-11,6.977654910342315e-11,6.9915960480876379e-11
10900,1.889392663321188e-10,1.492705471706082e-10,6.057750688131203e-11
10950,1.8732551543447891e-10,1.0944355477315362e-10,8.2558980797294283e-11
11000,2.162272927928079e-11,6.5507902085280039e-11,4.5692243745756548e-11
11050,1.8231382175516445e-10,1.1581607575013322e-10,9.9379380209785903e-11
11100,3.9548604454171377e-11,7.1897693567902851e-11,6.4231345946429026e-11
11150,1.215140787959117e-10,1.172610307402727e-10,3.7991719952105687e-11
11200,1.1348237683875055e-10,1.8439738965482705e-10,1.2109949725814491e-10
11250,1.6263186823980463e-10,9.6011831123939551e-11,1.2525206065084779e-10
11300,1.0396952277526085e-10,6.9568945564720292e-11,1.66391637851516e-10
11350,3.1288572303260088e-10,1.3144898469194129e-10,2.2019757946858459e-10
11400,1.0851788328096042e-10,8.9946248944636682e-11,1.2487028278349868e-10
11450,1.4263342549908525e-10,1.6014472090817007e-11,1.3027159256989083e-10
11500,6.1544074000644543e-11,1.5485805502196973e-10,1.9850103677266552e-10
11550,2.1648113202121617e-10,1.5173258420959898e-10,3.5007662102011282e-10
11600,2.7957082200135065e-10,2.2532052850872411e-10,1.3319580280667753e-10
11650,1.1356194669115459e-10,1.0726163895442417e-10,2.1472730147651833e-10
11700,7.4988656035407315e-11,5.6380133249034113e-11,1.8632017850926864e-11
11750,1.9663935875355275e-11,5.1197295058683337e-11,6.9024464095029407e-11
11800,2.4048222279920421e-10,1.1488077910007694e-10,1.4267173171498991e-10
11850,1.1682067997431275e-10,1.188468190445751e-10,8.6509701148724553e-12
11900,1.9933205539369594e-10,1.1415786408366532e-10,8.5971164365241872e-11
11950,6.8027340599098198e-11,8.5207649739049238e-11,2.1200429737204698e-11
12000,1.2038220819175741e-10,2.4018981534082372e-10,1.5426136705805948e-10
12050,1.1495476602936985e-10,8.5499280954479314e-11,7.2735748598361737e-11
12100,4.1567152217443316e-11,8.3933378630936729e-11,1.254638154750793e-10
12150,1.6293666463592053e-10,1.2791123373461771e-10,1.5566353967133988e-10
12200,1.4078054358220724e-10,1.7750955938818622e-10,3.8453883837108634e-11
12250,1.9199212800393801e-10,2.5227937100012295e-10,1.4614190410946462e-10
12300,1.9824033678906999e-10,1.2405405657492776e-10,8.1186019858210046e-11
12350,1.2470424792926025e-10,1.5886485596614044e-10,1.2130121708051443e-10
12400,1.5568575496032293e-10,3.2990424125480656e-11,1.3215413093042524e-10
12450,1.0033882216496935e-10,1.1414404774940296e-10,2.0023602542475238e-10
12500,1.9508453332361713e-10,2.919717455622907e-10,1.0188238693030687e-10
12550,2.1592055213175146e-10,1.8722821612690761e-10,9.9125859267750421e-11
12600,2.8476576606711604e-11,7.0472574638404196e-11,8.4259908021529986e-11
12650,2.0235521733394712e-10,3.1215620779028967e-10,1.1050633719493169e-10
12700,2.0614891536552329e-10,1.417416539867739e-10,1.1228101691219819e-10
12750,1.2606599154405112e-10,2.0811934868122525e-10,1.9764309871638297e-10
12800,1.3540062727754197e-10,1.1976176087925912e-10,8.3251795026987561e-11
12850,1.1399577787964023e-10,2.2179441805659804e-10,1.9731026735988252e-10
12900,9.6404626300304115e-11,1.7144398115624495e-10,1.0370095552228118e-10
